,Unnamed: 0,dob,photo_taken,full_path,gender,name,face_score,second_face_score,size,age
68,68,1932-07-10 00:00:00,2010,39/100339_1931-07-10_2010.jpg,1.0,Jerry Herman,2.809603118022331,,"(194, 194)",78
69,69,1921-08-11 00:00:00,1970,49/1003449_1920-08-10_1970.jpg,1.0,Red Holzman,4.028829034269829,,"(338, 338)",49
71,71,1977-07-30 00:00:00,2009,29/10034929_1976-07-29_2009.jpg,1.0,Jay Hieron,3.041627137600959,,"(137, 137)",32
76,76,1968-04-27 00:00:00,2015,84/100384_1967-04-27_2015.jpg,1.0,Willem-Alexander of the Netherlands,4.23657431912644,,"(501, 500)",47
77,77,1970-10-12 00:00:00,2013,87/100387_1969-10-11_2013.jpg,1.0,Prince Constantijn of the Netherlands,3.2980966439990085,,"(302, 301)",43
81,81,1914-12-04 00:00:00,1976,23/10039123_1913-12-03_1976.jpg,1.0,Omer Vanaudenhove,2.055348433710995,,"(415, 415)",62
82,82,1977-03-31 00:00:00,2006,48/1003948_1976-03-30_2006.jpg,0.0,Ayako Kawasumi,3.4625193832524364,,"(456, 457)",29
85,85,1980-05-25 00:00:00,2010,27/1004027_1979-05-25_2010.jpg,1.0,Carlos Bocanegra,3.7821766639207466,,"(393, 394)",30
92,92,1971-06-17 00:00:00,2007,60/1004160_1970-06-16_2007.jpg,1.0,Cobi Jones,3.0912951031731306,,"(143, 142)",36
94,94,1982-02-14 00:00:00,2007,29/1004429_1981-02-13_2007.jpg,1.0,Liam Miller,4.597932586281533,,"(296, 297)",25
95,95,1976-08-25 00:00:00,2011,40/1004540_1975-08-25_2011.jpg,0.0,Sarah Manners,5.244717610419388,,"(419, 418)",35
98,98,1988-07-16 00:00:00,2014,56/10046756_1987-07-16_2014.jpg,0.0,AnnaLynne McCord,2.831632070596439,,"(319, 319)",26
100,100,1938-12-30 00:00:00,1961,54/1004854_1937-12-29_1961.jpg,0.0,Barbara Steele,2.96463644712484,,"(290, 290)",23
101,101,1892-09-16 00:00:00,1958,00/10049200_1891-09-16_1958.jpg,0.0,Isabel Jeans,5.254818639993248,,"(256, 256)",66
102,102,1946-03-31 00:00:00,2008,49/10049_1945-03-30_2008.jpg,1.0,Eric Clapton,2.380850462495707,,"(150, 150)",62
104,104,1938-09-07 00:00:00,2010,79/1005079_1937-09-06_2010.jpg,0.0,Jo Anne Worley,3.3343514755536487,,"(343, 343)",72
105,105,1956-07-06 00:00:00,2005,31/1005131_1955-07-06_2005.jpg,1.0,Rick Braun,3.056615300266259,,"(93, 92)",49
106,106,1961-01-10 00:00:00,2013,58/1005258_1960-01-10_2013.jpg,0.0,Gurinder Chadha,5.197344366635476,,"(346, 346)",52
107,107,1983-06-13 00:00:00,2009,11/10054011_1982-06-12_2009.jpg,1.0,Loïc Duval,3.842110512234417,,"(325, 325)",26
110,110,1993-09-29 00:00:00,2010,79/10055379_1992-09-28_2010.jpg,1.0,Keir Gilchrist,4.015770940039251,,"(489, 489)",17
112,112,1971-06-03 00:00:00,2009,88/10058588_1970-06-02_2009.jpg,1.0,Lance Mackey,2.969186056059951,,"(346, 346)",38
113,113,1980-12-03 00:00:00,2006,27/1005927_1979-12-03_2006.jpg,1.0,Rainbow Sun Francks,4.9794175276846975,,"(210, 210)",26
118,118,1971-12-30 00:00:00,2011,11/1006211_1970-12-29_2011.jpg,1.0,Glen Phillips,2.194798090207035,,"(114, 114)",40
121,121,1987-03-07 00:00:00,2014,37/10063437_1986-03-06_2014.jpg,1.0,Paul Aguilar,2.101433363604802,,"(157, 158)",27
125,125,1987-01-05 00:00:00,2009,03/10064003_1986-01-04_2009.jpg,0.0,Charlyne Yi,3.7228474993372727,,"(174, 173)",22
126,126,1981-07-08 00:00:00,2005,07/1006407_1980-07-07_2005.jpg,0.0,Deidre Downs,5.482030546880283,,"(211, 211)",24
130,130,1942-07-31 00:00:00,2007,91/100691_1941-07-30_2007.jpg,1.0,Paul Anka,2.135898942995504,,"(352, 351)",65
131,131,1955-12-29 00:00:00,2000,92/100692_1954-12-28_2000.jpg,1.0,Denzel Washington,4.708681548697594,,"(276, 276)",45
133,133,1974-01-21 00:00:00,2011,07/1007007_1973-01-20_2011.jpg,1.0,Benjamin Biolay,3.200606044055522,,"(245, 245)",37
135,135,1982-10-17 00:00:00,2010,45/10071745_1981-10-16_2010.jpg,1.0,Frankie Edgar,3.881406275791293,,"(256, 256)",28
136,136,1936-05-27 00:00:00,2005,92/1007192_1935-05-27_2005.jpg,0.0,Lee Meriwether,3.706717689936597,,"(130, 130)",69
137,137,1962-04-04 00:00:00,2010,71/10071_1961-04-03_2010.jpg,0.0,Elizabeth Gracen,4.790645351325969,,"(500, 500)",48
139,139,1973-07-07 00:00:00,2009,98/10072598_1972-07-06_2009.jpg,1.0,Nir Shaviv,3.536742823056265,,"(257, 257)",36
141,141,1984-03-09 00:00:00,2013,99/1007499_1983-03-09_2013.jpg,1.0,Clint Dempsey,3.8409820600124087,,"(151, 151)",29
142,142,1945-11-06 00:00:00,1982,01/10075401_1944-11-05_1982.jpg,1.0,Bob Weltlich,3.635214084118172,,"(228, 229)",37
143,143,1989-01-11 00:00:00,2010,15/10075415_1988-01-11_2010.jpg,0.0,Junjun,4.590059231512015,,"(231, 231)",21
146,146,1969-12-18 00:00:00,2012,36/1007636_1968-12-17_2012.jpg,1.0,Claudio Suárez,2.869201963641347,,"(153, 153)",43
148,148,1948-12-21 00:00:00,2007,64/1007764_1947-12-21_2007.jpg,1.0,Paco de Lucía,3.336624114869822,,"(146, 147)",59
155,155,1992-03-11 00:00:00,2010,69/10079169_1991-03-11_2010.jpg,0.0,Linlin,3.6442533705686007,,"(215, 215)",18
156,156,1987-03-10 00:00:00,2009,28/1007928_1986-03-09_2009.jpg,0.0,Brittany Snow,4.956615363597603,,"(263, 262)",22
157,157,1987-08-09 00:00:00,2014,46/10080646_1986-08-08_2014.jpg,0.0,Charlotte Stokely,4.635688026850942,,"(397, 398)",27
159,159,1957-12-18 00:00:00,2009,33/1008133_1956-12-17_2009.jpg,1.0,Peter Farrelly,4.161781127489545,,"(489, 489)",52
160,160,1916-04-03 00:00:00,1996,50/10081450_1915-04-03_1996.jpg,1.0,İhsan Doğramacı,2.005963111444034,,"(136, 136)",80
161,161,1931-06-04 00:00:00,1965,67/10081867_1930-06-03_1965.jpg,0.0,Dakota Staton,2.781323688646147,,"(244, 245)",34
163,163,1959-06-18 00:00:00,2009,83/1008283_1958-06-17_2009.jpg,1.0,Bobby Farrelly,5.360786593729777,,"(426, 425)",50
165,165,1972-10-26 00:00:00,2006,52/1008352_1971-10-26_2006.jpg,1.0,Anthony Rapp,2.9220873844885373,,"(241, 241)",34
166,166,1949-09-25 00:00:00,1978,40/100840_1948-09-24_1978.jpg,1.0,Phil Hartman,2.7594944332460702,,"(489, 489)",29
167,167,1990-03-22 00:00:00,2014,76/10084176_1989-03-21_2014.jpg,1.0,Takeru Satoh,4.258463058838422,,"(213, 213)",24
168,168,1972-10-09 00:00:00,2010,01/1008501_1971-10-09_2010.jpg,1.0,Stevie Richards,3.0070373560414723,,"(245, 244)",38
169,169,1975-09-20 00:00:00,2015,06/1008506_1974-09-19_2015.jpg,0.0,Victoria Silvstedt,3.471160653819465,,"(346, 346)",40
172,172,1922-07-24 00:00:00,1990,66/100866_1921-07-23_1990.jpg,1.0,Calvert DeForest,2.38714957448576,,"(361, 361)",68
173,173,1979-06-22 00:00:00,2009,63/1008763_1978-06-21_2009.jpg,0.0,Erica Durance,2.322043480425843,,"(240, 240)",30
175,175,1946-02-06 00:00:00,1973,81/10088281_1945-02-05_1973.jpg,1.0,Jean-Guy Lagace,4.273892812842571,,"(500, 500)",27
176,176,1939-04-11 00:00:00,1976,40/1008840_1938-04-10_1976.jpg,1.0,Don Meredith,5.471801208431188,,"(419, 419)",37
177,177,1957-11-11 00:00:00,2008,76/10088476_1956-11-10_2008.jpg,1.0,Sinbad,3.1782766196602013,,"(230, 231)",51
179,179,1983-04-07 00:00:00,2002,54/10088854_1982-04-06_2002.jpg,1.0,Barry Roche,3.5967281798917936,,"(176, 177)",19
180,180,1963-09-19 00:00:00,2010,05/1008905_1962-09-18_2010.jpg,1.0,John Mann,2.243806404032509,,"(228, 229)",47
181,181,1983-08-01 00:00:00,2009,10/10089110_1982-07-31_2009.jpg,1.0,Alan O'Hare,3.708203339374699,,"(262, 263)",26
183,183,1970-08-20 00:00:00,2000,44/10089844_1969-08-19_2000.jpg,1.0,"Emigdio Preciado, Jr.",5.068770127167266,,"(167, 168)",30
186,186,1987-03-17 00:00:00,2012,74/10093174_1986-03-16_2012.jpg,1.0,Marcus Kelly,4.448780374003032,,"(223, 223)",25
189,189,1990-07-22 00:00:00,2011,85/10093585_1989-07-21_2011.jpg,0.0,Juno Temple,5.377803558782456,,"(262, 263)",21
190,190,1945-05-26 00:00:00,2012,36/100936_1944-05-25_2012.jpg,1.0,Frank Oz,2.572555614811498,,"(456, 457)",67
192,192,1982-03-07 00:00:00,2007,53/1009453_1981-03-06_2007.jpg,0.0,Ellen Muth,3.230214633158893,,"(489, 489)",25
199,199,1982-06-17 00:00:00,2010,56/10099956_1981-06-16_2010.jpg,1.0,Alexandre Giroux,2.4063014749409524,,"(208, 207)",28
201,201,1907-09-03 00:00:00,1941,36/20000636_1906-09-02_1941.jpg,1.0,Bill Kern,3.998757988293682,,"(249, 249)",34
202,202,1976-11-30 00:00:00,1996,19/2000219_1975-11-30_1996.jpg,0.0,Mindy McCready,3.983013757928118,,"(106, 107)",20
203,203,1933-11-07 00:00:00,2009,15/2000415_1932-11-06_2009.jpg,1.0,Eugene H. Peterson,2.4885044811006125,,"(108, 108)",76
204,204,1950-12-16 00:00:00,1986,53/200053_1949-12-15_1986.jpg,1.0,Don Johnson,2.741761905960691,,"(397, 397)",36
205,205,1982-10-02 00:00:00,2013,62/2000562_1981-10-01_2013.jpg,1.0,Rupert Friend,4.812911786339091,,"(474, 475)",31
208,208,1980-07-30 00:00:00,2012,81/2000781_1979-07-30_2012.jpg,1.0,Graeme McDowell,2.43925229637863,,"(353, 353)",32
209,209,1951-03-03 00:00:00,2011,74/20008074_1950-03-02_2011.jpg,1.0,James W. Pennebaker,3.478167522051689,,"(500, 500)",60
212,212,1969-05-16 00:00:00,2007,64/20010364_1968-05-15_2007.jpg,1.0,Perry Friedman,3.871675420001214,,"(252, 252)",38
214,214,1961-01-05 00:00:00,2013,18/2001318_1960-01-05_2013.jpg,1.0,Glenn Strömberg,3.0790350031956883,,"(387, 387)",52
215,215,1987-05-20 00:00:00,2012,06/20013406_1986-05-19_2012.jpg,1.0,Facundo Pieres,5.538993693122968,,"(457, 457)",25
216,216,1926-09-14 00:00:00,1958,13/20013513_1925-09-13_1958.jpg,1.0,Sergei Salnikov,3.208500419411118,,"(122, 121)",32
219,219,1911-07-01 00:00:00,2005,42/20015042_1910-06-30_2005.jpg,0.0,Edith Evans Asbury,2.6300548556662338,,"(117, 116)",94
220,220,1991-11-13 00:00:00,2011,78/20015278_1990-11-12_2011.jpg,1.0,Harmeet Singh,3.9138214575849912,,"(387, 387)",20
221,221,1979-09-15 00:00:00,2010,34/20015634_1978-09-14_2010.jpg,1.0,Charlie Winston,2.603818928150877,,"(245, 244)",31
224,224,1948-01-21 00:00:00,1993,40/2001740_1947-01-20_1993.jpg,1.0,Cyrille Guimard,5.103265261952116,,"(362, 362)",45
227,227,1965-11-07 00:00:00,2007,02/200202_1964-11-06_2007.jpg,1.0,Greg Graffin,2.313905249227365,,"(228, 229)",42
229,229,1991-01-14 00:00:00,2014,61/20022961_1990-01-13_2014.jpg,1.0,Liam Hemsworth,5.000933250085387,,"(500, 500)",23
234,234,1991-07-30 00:00:00,2008,65/20024365_1990-07-29_2008.jpg,0.0,Valentina Golubenko,2.349312627783017,,"(302, 301)",17
236,236,1980-03-10 00:00:00,2009,55/20025755_1979-03-10_2009.jpg,1.0,Edi Gathegi,3.3510355663756126,,"(162, 161)",29
237,237,1921-03-02 00:00:00,1948,10/2002610_1920-03-01_1948.jpg,1.0,Reg Harris,2.177577725824244,,"(115, 114)",27
238,238,1924-01-15 00:00:00,1951,69/20027069_1923-01-14_1951.jpg,1.0,Ken Johnson,3.606033695402701,,"(201, 200)",27
239,239,1991-06-18 00:00:00,2014,50/20027350_1990-06-17_2014.jpg,1.0,Jordan Henderson,3.975564742137427,,"(159, 159)",23
241,241,1983-09-29 00:00:00,2013,56/2002856_1982-09-28_2013.jpg,0.0,Nolwenn Leroy,3.605292345812248,,"(425, 425)",30
242,242,1989-03-20 00:00:00,2009,87/20028987_1988-03-19_2009.jpg,1.0,Rory Loy,2.918284916684137,,"(337, 337)",20
243,243,1980-06-03 00:00:00,2014,29/20029729_1979-06-03_2014.jpg,1.0,Dawid Banaczek,2.1924627205951417,,"(108, 108)",34
246,246,1942-08-31 00:00:00,2015,82/20032482_1941-08-30_2015.jpg,1.0,John McNally,2.7311731929542487,,"(106, 106)",73
248,248,1954-05-16 00:00:00,2006,32/20032_1953-05-15_2006.jpg,1.0,Mike Oldfield,2.3418820174723334,,"(301, 301)",52
249,249,1968-06-29 00:00:00,2009,40/20033040_1967-06-29_2009.jpg,0.0,Upasana Singh,4.333820056987025,,"(242, 243)",41
251,251,1958-12-15 00:00:00,2014,35/20033935_1957-12-14_2014.jpg,1.0,Scott Lively,4.084451355455438,,"(228, 228)",56
252,252,1987-06-30 00:00:00,2009,55/20034355_1986-06-29_2009.jpg,1.0,Chris Pizzotti,3.340286992875668,,"(261, 260)",22
254,254,1882-09-06 00:00:00,1944,57/200357_1881-09-05_1944.jpg,1.0,"Henry Maitland Wilson, 1st Baron Wilson",3.4323014729513117,,"(123, 123)",62
256,256,1945-09-01 00:00:00,2012,40/2003740_1944-08-31_2012.jpg,0.0,Stephanie Coontz,2.774981732134861,,"(265, 265)",67
259,259,1886-12-01 00:00:00,1940,85/200385_1885-11-30_1940.jpg,1.0,Albert Kesselring,3.2480139656448825,,"(398, 397)",54
262,262,1895-10-27 00:00:00,1944,03/20042203_1894-10-26_1944.jpg,1.0,Walther Buhle,3.689922482557313,,"(500, 500)",49
263,263,1983-09-04 00:00:00,2014,30/2004430_1982-09-03_2014.jpg,1.0,Andrew McMahon,2.0061393263524976,,"(114, 114)",31
266,266,1962-05-27 00:00:00,2011,55/2004855_1961-05-26_2011.jpg,1.0,Tarsem Singh,5.277782509974504,,"(199, 199)",49
269,269,1968-11-21 00:00:00,2010,28/20050128_1967-11-21_2010.jpg,1.0,Ken Block,3.582895142316236,,"(242, 242)",42
273,273,1973-10-23 00:00:00,2008,90/2005290_1972-10-22_2008.jpg,0.0,Saffron Burrows,6.18273825571757,,"(426, 426)",35
274,274,1983-04-07 00:00:00,2009,72/20053572_1982-04-06_2009.jpg,1.0,Robin Clark,2.860802944776484,,"(226, 226)",26
275,275,1936-08-25 00:00:00,1956,58/20054558_1935-08-25_1956.jpg,1.0,José Ramos Delgado,3.14167547575474,,"(301, 302)",20
276,276,1957-11-22 00:00:00,2009,74/2005574_1956-11-21_2009.jpg,0.0,Cherry Jones,3.343297544227484,,"(489, 489)",52
277,277,1972-05-27 00:00:00,2014,63/200563_1971-05-27_2014.jpg,1.0,Paul Bettany,2.567738141357748,,"(500, 500)",42
278,278,1948-01-25 00:00:00,1978,91/200591_1947-01-24_1978.jpg,1.0,Warren Zevon,4.0171314512160645,,"(500, 500)",30
281,281,1988-10-05 00:00:00,2011,62/20063362_1987-10-05_2011.jpg,1.0,Brandon Tate,2.183190706887608,,"(278, 278)",23
283,283,1908-12-25 00:00:00,1945,61/2006361_1907-12-25_1945.jpg,1.0,Mike Mazurki,3.351737501130647,,"(250, 250)",37
284,284,1987-10-13 00:00:00,2014,82/20064382_1986-10-12_2014.jpg,1.0,Adam McQuaid,2.623538282739036,,"(238, 239)",27
286,286,1982-05-11 00:00:00,2014,85/2006485_1981-05-10_2014.jpg,1.0,Samuel Dalembert,2.7863120968623525,,"(214, 214)",32
287,287,1936-11-24 00:00:00,1960,81/20065381_1935-11-24_1960.jpg,1.0,Vin Denson,3.407413090620837,,"(175, 175)",24
289,289,1920-10-26 00:00:00,1973,98/20065598_1919-10-26_1973.jpg,1.0,Mohammad Reza Pahlavi,4.559077248816067,,"(250, 249)",53
290,290,1967-10-30 00:00:00,2003,79/2006579_1966-10-29_2003.jpg,1.0,Drew Rosenhaus,3.239919684022404,,"(245, 245)",36
292,292,1981-02-27 00:00:00,2008,83/200683_1980-02-27_2008.jpg,0.0,Chelsea Clinton,2.39084817850307,,"(228, 228)",27
293,293,1950-06-20 00:00:00,2011,09/20068709_1949-06-19_2011.jpg,1.0,Mark Canton,3.933573499563912,,"(245, 245)",61
294,294,1975-04-25 00:00:00,2009,78/20069078_1974-04-24_2009.jpg,1.0,Ray Griggs,4.749769752244823,,"(371, 371)",34
295,295,1963-07-08 00:00:00,2011,30/2006930_1962-07-07_2011.jpg,1.0,Akiva Goldsman,3.493276833572561,,"(234, 234)",48
297,297,1980-07-26 00:00:00,2004,24/20069824_1979-07-26_2004.jpg,0.0,Rona Kenan,2.4745528607479472,,"(185, 186)",24
299,299,1946-06-16 00:00:00,2015,94/2007194_1945-06-15_2015.jpg,1.0,Don McGregor,3.2845820970333324,,"(260, 261)",69
304,304,1974-04-15 00:00:00,2014,50/200750_1973-04-14_2014.jpg,1.0,Adrien Brody,4.62303667852391,,"(322, 323)",40
306,306,1953-05-07 00:00:00,2014,87/2007787_1952-05-06_2014.jpg,1.0,Fred Newman,2.934384048889881,,"(244, 244)",61
307,307,1971-05-04 00:00:00,2009,16/2008016_1970-05-03_2009.jpg,1.0,Bobby Cannavale,3.8321255588471015,,"(426, 426)",38
314,314,1936-02-15 00:00:00,1956,29/20088629_1935-02-14_1956.jpg,1.0,Ronnie Knox,4.54427262822227,,"(363, 363)",20
316,316,1977-11-20 00:00:00,2012,15/20089715_1976-11-19_2012.jpg,1.0,Jack Dorsey,4.844692223512698,,"(346, 346)",35
317,317,1930-01-28 00:00:00,2011,89/20089_1929-01-27_2011.jpg,1.0,Mohamed Al-Fayed,2.0632537519415504,,"(362, 362)",81
319,319,1986-09-17 00:00:00,2010,26/2009326_1985-09-16_2010.jpg,1.0,Max Minghella,6.068164836253979,,"(500, 500)",24
320,320,1965-05-14 00:00:00,2008,14/2009614_1964-05-13_2008.jpg,1.0,Glacier,3.784798629153987,,"(213, 213)",43
327,327,1979-03-06 00:00:00,2013,72/3000072_1978-03-05_2013.jpg,1.0,Papoose,2.2385682033922625,,"(208, 208)",34
329,329,1990-09-05 00:00:00,2011,36/30001236_1989-09-04_2011.jpg,1.0,Benjamin Francis Leftwich,3.257937105465756,,"(162, 161)",21
330,330,1985-12-18 00:00:00,2013,35/30001835_1984-12-17_2013.jpg,1.0,Martin Emmrich,2.592093819604717,,"(161, 161)",28
337,337,1926-09-11 00:00:00,1948,25/30007125_1925-09-10_1948.jpg,1.0,Larry Olsonoski,2.552825276854363,,"(134, 135)",22
338,338,1963-06-26 00:00:00,2011,57/30007557_1962-06-25_2011.jpg,1.0,Kristinn Hrafnsson,2.9272859604654102,,"(245, 244)",48
339,339,1985-11-16 00:00:00,2012,87/30008387_1984-11-15_2012.jpg,0.0,Katarina Bulatović,4.249692917844397,,"(131, 132)",27
340,340,1993-07-25 00:00:00,2015,53/30009853_1992-07-24_2015.jpg,1.0,Mikaël Kingsbury,4.347396953104787,,"(489, 489)",22
341,341,1979-05-27 00:00:00,2008,89/3001089_1978-05-26_2008.jpg,1.0,Laurence Fox,2.853352652659907,,"(245, 245)",29
342,342,1978-08-09 00:00:00,2011,99/3001099_1977-08-08_2011.jpg,0.0,Lindsay Sloane,4.642086811872575,,"(397, 398)",33
347,347,1965-01-29 00:00:00,2010,35/30011835_1964-01-29_2010.jpg,1.0,Dirk Schulze-Makuch,4.356467167327704,,"(363, 363)",45
350,350,1982-02-01 00:00:00,2012,26/3001226_1981-01-31_2012.jpg,,Selçuk Şahin,3.729982979783687,,"(151, 150)",30
351,351,1986-10-01 00:00:00,2014,47/3001247_1985-09-30_2014.jpg,1.0,Olcan Adın,2.711410698885475,,"(130, 130)",28
354,354,1945-09-28 00:00:00,2010,77/3001477_1944-09-27_2010.jpg,0.0,Angélica María,3.729553508897361,,"(117, 117)",65
361,361,1972-04-16 00:00:00,2011,53/3002053_1971-04-16_2011.jpg,1.0,Moses Chan,4.710275031407023,,"(323, 323)",39
363,363,1989-02-23 00:00:00,2013,64/30020764_1988-02-23_2013.jpg,1.0,Mark Millar,2.18414365704639,,"(132, 131)",24
364,364,1985-09-21 00:00:00,2011,29/30021129_1984-09-20_2011.jpg,1.0,Lars Vaular,5.125608921860912,,"(457, 457)",26
366,366,1987-07-13 00:00:00,2012,06/30022306_1986-07-12_2012.jpg,1.0,360,2.8484382663560037,,"(237, 237)",25
367,367,1969-03-19 00:00:00,2007,36/30022636_1968-03-18_2007.jpg,1.0,Juan Carlos Vellido,5.191681539214649,,"(500, 500)",38
368,368,1983-09-02 00:00:00,2008,22/30026522_1982-09-01_2008.jpg,1.0,Peter van Merksteijn Jr.,2.502372158607852,,"(188, 188)",25
370,370,1926-11-06 00:00:00,2008,25/30028425_1925-11-05_2008.jpg,1.0,Norm Winningstad,4.009530996489213,,"(189, 190)",82
371,371,1962-07-01 00:00:00,2008,12/30028612_1961-06-30_2008.jpg,1.0,Clive Nolan,2.987054906821374,,"(278, 278)",46
373,373,1984-04-07 00:00:00,2012,12/3002912_1983-04-07_2012.jpg,1.0,Franck Ribéry,3.891722339408204,,"(360, 360)",28
375,375,1949-04-29 00:00:00,2012,29/30029_1948-04-28_2012.jpg,1.0,Terry Pratchett,2.2016948189792696,,"(281, 281)",63
376,376,1957-12-24 00:00:00,2014,21/3003021_1956-12-23_2014.jpg,1.0,Jesús Huerta de Soto,4.377862216443561,,"(302, 302)",57
380,380,1967-11-11 00:00:00,2009,79/3003379_1966-11-10_2009.jpg,0.0,Vanessa Angel,2.78226265928576,,"(244, 245)",42
