,Unnamed: 0,index,Unnamed: 0.1,dob,photo_taken,full_path,gender,name,face_score,second_face_score,size,age
2258,4966,16915,16915,1963-11-20 00:00:00,2013,49/nm0000149_rm3779567872_1962-11-19_2013.jpg,0.0,Jodie Foster,2.4123501955593465,,"(181, 180)",50
3581,26828,90975,90975,1933-12-08 00:00:00,2000,95/nm0000995_rm1720106496_1932-12-7_2000.jpg,0.0,Ellen Burstyn,2.0282279339473943,,"(139, 140)",67
496,85257,283963,283963,1988-02-10 00:00:00,2005,07/nm0430107_rm3292896000_1987-2-9_2005.jpg,1.0,Michael B. Jordan,5.360749296405284,,"(138, 138)",17
3617,4820,16365,16365,1943-07-14 00:00:00,2010,48/nm0000148_rm2180615936_1942-7-13_2010.jpg,1.0,Harrison Ford,2.3832791496680668,,"(401, 400)",67
2953,22681,77620,77620,1950-01-27 00:00:00,2011,57/nm0000657_rm2914696960_1949-1-26_2011.jpg,1.0,David Strathairn,2.7253956227656326,,"(128, 127)",61
673,31597,107014,107014,1980-02-22 00:00:00,1998,49/nm0001349_rm3739392000_1979-2-21_1998.jpg,0.0,Jennifer Love Hewitt,2.82909061536613,,"(75, 76)",18
3569,78488,260366,260366,1948-12-30 00:00:00,2015,55/nm0528855_rm1478098176_1947-12-30_2015.jpg,,Jeff Lynne,2.890164542432899,,"(500, 500)",67
2649,121199,407499,407499,1954-04-15 00:00:00,2013,76/nm0874676_rm1335074816_1953-4-14_2013.jpg,1.0,Eric Tsang,2.965009811989046,,"(278, 278)",59
1593,12136,40688,40688,1973-08-16 00:00:00,1998,55/nm0000255_rm896703232_1972-8-15_1998.jpg,1.0,Ben Affleck,4.938009082125113,,"(178, 178)",25
1453,86344,287981,287981,1989-07-20 00:00:00,2013,33/nm1532833_rm2137642752_1988-7-19_2013.jpg,1.0,Daniel Rindress-Kay,4.153148017992246,,"(500, 500)",24
2109,8140,27269,27269,1961-12-04 00:00:00,2008,94/nm0000194_rm633312256_1960-12-3_2008.jpg,0.0,Julianne Moore,3.123059939457332,,"(76, 76)",47
2014,57148,188085,188085,1980-05-09 00:00:00,2012,57/nm0206257_rm615362048_1979-5-9_2012.jpg,0.0,Rosario Dawson,3.867463433004216,,"(319, 319)",32
553,122134,410966,410966,1983-11-30 00:00:00,2000,07/nm0085407_rm3204619008_1982-11-29_2000.jpg,1.0,Lucas Black,5.075787925844701,,"(300, 300)",17
1842,70197,231412,231412,1979-10-15 00:00:00,2008,78/nm0713378_rm1280677376_1978-10-14_2008.jpg,1.0,Usher Raymond,2.838352847791937,,"(292, 292)",29
3183,14115,47570,47570,1947-05-21 00:00:00,2010,33/nm0000333_rm1294042880_1946-5-20_2010.jpg,0.0,Cher,4.699541690263732,,"(252, 252)",63
2266,21201,72217,72217,1955-11-20 00:00:00,2005,99/nm0000599_rm1027578624_1954-11-19_2005.jpg,0.0,Kathleen Quinlan,2.565449254049778,,"(69, 69)",50
1552,53165,174985,174985,1980-08-20 00:00:00,2005,72/nm0005472_rm3674905344_1979-8-20_2005.jpg,0.0,Kimberly Stewart,2.442482726949919,,"(77, 76)",25
1669,39248,133071,133071,1963-10-29 00:00:00,1989,79/nm0001879_rm554339840_1962-10-28_1989.jpg,0.0,Daphne Zuniga,2.242376579638527,,"(349, 348)",26
896,102102,341605,341605,1990-12-14 00:00:00,2010,47/nm2357847_rm3630006528_1989-12-13_2010.jpg,0.0,Taylor Swift,4.18573008707625,,"(215, 215)",20
2339,124191,417743,417743,1942-06-22 00:00:00,1999,86/nm0280886_rm1835509760_1941-6-21_1999.jpg,1.0,Joe Flaherty,4.482442639334108,,"(500, 500)",57
1312,3148,10780,10780,1963-07-04 00:00:00,1986,29/nm0000129_rm3380918784_1962-7-3_1986.jpg,1.0,Tom Cruise,4.231551195826709,,"(500, 500)",23
1169,104765,350138,350138,1991-01-15 00:00:00,2013,16/nm2652716_rm668779776_1990-1-14_2013.jpg,1.0,Grant Gustin,3.673250384847818,,"(501, 501)",22
2238,33744,114181,114181,1960-02-01 00:00:00,2010,88/nm0001488_rm2730736384_1959-1-31_2010.jpg,0.0,Kelly Lynch,3.623062410341456,,"(171, 171)",50
75,66217,218617,218617,2000-11-10 00:00:00,2007,43/nm2215143_rm1169803264_1999-11-10_2007.jpg,0.0,Kiernan Shipka,4.265495437543663,,"(460, 460)",7
183,67891,223984,223984,1993-11-24 00:00:00,2007,23/nm1415323_rm2741672448_1992-11-23_2007.jpg,0.0,Miley Cyrus,5.272737853833169,,"(250, 251)",14
470,72945,240972,240972,1997-09-02 00:00:00,2014,35/nm3918035_rm4246326272_1996-9-1_2014.jpg,0.0,Zendaya,5.4760594485089245,,"(260, 260)",17
3825,4483,15209,15209,1931-06-01 00:00:00,2002,42/nm0000142_rm1549965568_1930-5-31_2002.jpg,1.0,Clint Eastwood,2.6528411005087915,,"(122, 122)",71
1292,52089,171840,171840,1981-06-27 00:00:00,2004,03/nm0005403_rm3559954432_1980-6-26_2004.jpg,1.0,Jason Schwartzman,2.1682335483848587,,"(83, 84)",23
269,125071,420769,420769,1993-02-14 00:00:00,2008,03/nm0383603_rm2903428608_1992-2-14_2008.jpg,1.0,Freddie Highmore,3.3085412576733217,,"(500, 500)",15
1008,136616,460672,460672,1990-12-30 00:00:00,2011,08/nm3994408_rm257936128_1989-12-29_2011.jpg,0.0,Jane Levy,4.133041205897866,,"(149, 149)",21
1873,91137,303935,303935,1980-12-31 00:00:00,2009,87/nm0144187_rm3209857792_1979-12-31_2009.jpg,0.0,Elaine Cassidy,4.917209829952878,,"(229, 229)",29
49,82172,273461,273461,2000-02-03 00:00:00,2006,15/nm2030915_rm47224832_1999-2-2_2006.jpg,1.0,Antonio Ortiz,3.946647900048927,,"(239, 240)",6
1883,10268,34244,34244,1968-09-28 00:00:00,1997,27/nm0000227_rm3893868800_1967-9-28_1997.jpg,0.0,Mira Sorvino,2.457370516900403,,"(500, 500)",29
3743,3660,12618,12618,1944-08-17 00:00:00,2013,34/nm0000134_rm857449472_1943-8-17_2013.jpg,1.0,Robert De Niro,2.8251932429057627,,"(500, 500)",69
3075,89217,297782,297782,1944-01-22 00:00:00,2006,65/nm0933865_rm32676096_1943-1-21_2006.jpg,1.0,Michael G. Wilson,3.624931841084616,,"(500, 500)",62
1059,130390,440067,440067,1986-12-01 00:00:00,2007,05/nm0192505_rm3068768256_1985-11-30_2007.jpg,0.0,Kaley Cuoco,5.631427882954454,,"(500, 500)",21
1621,110942,371151,371151,1986-03-27 00:00:00,2012,36/nm0461136_rm2983241984_1985-3-26_2012.jpg,0.0,Keira Knightley,2.402194682340616,,"(500, 500)",26
1682,125232,421330,421330,1982-02-18 00:00:00,2008,96/nm0385296_rm3085670656_1981-2-17_2008.jpg,0.0,Paris Hilton,3.314902627234558,,"(145, 146)",26
332,135717,457780,457780,1986-08-05 00:00:00,2002,74/nm3794974_rm2222296832_1985-8-4_2002.jpg,0.0,Crystal Bowersox,3.8185254070576256,,"(113, 113)",16
3155,34071,115246,115246,1947-07-14 00:00:00,2010,07/nm0001507_rm4151217152_1946-7-13_2010.jpg,1.0,Cheech Marin,2.202807024308634,,"(232, 232)",63
3557,19574,66244,66244,1946-07-27 00:00:00,2013,45/nm0000545_rm2501550080_1945-7-26_2013.jpg,0.0,Helen Mirren,3.8366328279329633,,"(500, 501)",67
2432,10405,34767,34767,1947-12-19 00:00:00,2005,29/nm0000229_rm3670644736_1946-12-18_2005.jpg,1.0,Steven Spielberg,3.162847583645357,,"(205, 205)",58
1265,77945,258542,258542,1991-04-19 00:00:00,2013,80/nm1429380_rm1112210432_1990-4-18_2013.jpg,0.0,Britt Robertson,5.871472294502437,,"(501, 501)",22
240,56046,184228,184228,1993-05-19 00:00:00,2008,48/nm0107748_rm261854976_1992-5-18_2008.jpg,1.0,Spencer Breslin,5.7059910951007184,,"(250, 250)",15
2205,29893,101670,101670,1956-06-07 00:00:00,2005,35/nm0001235_rm984190208_1955-6-7_2005.jpg,1.0,William Forsythe,2.9482994410939325,,"(500, 500)",49
1082,66124,218267,218267,1985-11-13 00:00:00,2006,06/nm1217506_rm2996148992_1984-11-12_2006.jpg,1.0,Omarion Grandberry,2.236841311809512,,"(75, 75)",21
2193,115523,387151,387151,1966-10-15 00:00:00,2015,69/nm0176869_rm2838689280_1965-10-14_2015.jpg,1.0,Steve Coogan,2.6021588930114103,,"(278, 278)",49
261,107761,360133,360133,1995-11-17 00:00:00,2010,75/nm2061375_rm1227077632_1994-11-16_2010.jpg,0.0,India Ennenga,2.781075531668873,,"(500, 500)",15
3334,32490,109807,109807,1944-12-31 00:00:00,2008,26/nm0001426_rm1447139840_1943-12-31_2008.jpg,1.0,Ben Kingsley,4.265740410835068,,"(290, 290)",64
71,66232,218649,218649,2000-11-10 00:00:00,2007,43/nm2215143_rm2047473408_1999-11-10_2007.jpg,0.0,Kiernan Shipka,2.157890498418825,,"(500, 500)",7
957,71661,236431,236431,1994-06-27 00:00:00,2014,58/nm3812858_rm973848576_1993-6-26_2014.jpg,0.0,Ariana Grande,4.657473048449737,,"(373, 373)",20
1861,136486,460239,460239,1975-02-19 00:00:00,2004,90/nm1992190_rm142577152_1974-2-18_2004.jpg,0.0,Jillian Michaels,4.481430323896335,,"(158, 158)",29
3535,121882,410011,410011,1943-11-21 00:00:00,2009,82/nm0081182_rm1096593152_1942-11-20_2009.jpg,1.0,Joe Biden,3.901517814037133,,"(104, 104)",66
1651,113967,381625,381625,1986-07-03 00:00:00,2012,08/nm0864308_rm393588992_1985-7-2_2012.jpg,0.0,Ashley Tisdale,5.123611417894861,,"(500, 500)",26
153,57908,191204,191204,1986-02-10 00:00:00,2000,56/nm0302356_rm539597568_1985-2-9_2000.jpg,1.0,David Gallagher,5.30540018270128,,"(187, 187)",14
2665,358,1351,1351,1941-09-06 00:00:00,2000,79/nm0000079_rm2341444352_1940-9-5_2000.jpg,0.0,Raquel Welch,2.5398797214170097,,"(72, 73)",59
2862,7516,25244,25244,1946-08-15 00:00:00,2006,88/nm0000188_rm3753940224_1945-8-14_2006.jpg,1.0,Steve Martin,2.646606826360206,,"(109, 109)",60
1995,33228,112639,112639,1968-07-25 00:00:00,2000,55/nm0001455_rm67345152_1967-7-25_2000.jpg,1.0,Matt LeBlanc,4.328100082579335,,"(205, 205)",32
795,62287,205985,205985,1988-03-04 00:00:00,2007,57/nm1708957_rm1838451712_1987-3-4_2007.jpg,0.0,Tamzin Merchant,2.0867399196864005,,"(132, 131)",19
3158,21421,73034,73034,1949-07-31 00:00:00,2012,06/nm0000606_rm2380778496_1948-7-30_2012.jpg,1.0,Jean Reno,4.1147427455371925,,"(430, 429)",63
168,100916,337713,337713,1998-10-09 00:00:00,2012,74/nm2254074_rm4262180096_1997-10-8_2012.jpg,0.0,Bella Thorne,3.156773177301314,,"(500, 500)",14
2854,7338,24669,24669,1945-05-15 00:00:00,2005,84/nm0000184_rm2147859200_1944-5-14_2005.jpg,1.0,George Lucas,2.351430963415403,,"(457, 456)",60
992,76727,254431,254431,1989-06-12 00:00:00,2009,53/nm2322853_rm3230836992_1988-6-11_2009.jpg,0.0,Claire Holt,4.80479931199362,,"(260, 260)",20
2206,125948,423689,423689,1961-07-24 00:00:00,2010,57/nm0484457_rm804491008_1960-7-23_2010.jpg,1.0,Jon Landau,4.0967014522918594,,"(168, 168)",49
1538,132746,448167,448167,1986-12-27 00:00:00,2011,31/nm3396631_rm2844766720_1985-12-26_2011.jpg,0.0,Beth Behrs,3.252867932483483,,"(341, 340)",25
1426,136345,459800,459800,1987-06-14 00:00:00,2011,07/nm0993507_rm3592139008_1986-6-13_2011.jpg,0.0,Kat Dennings,3.504658233284756,,"(276, 276)",24
2005,127597,429701,429701,1971-10-31 00:00:00,2003,87/nm0689187_rm803837952_1970-10-30_2003.jpg,1.0,Michael Polish,4.23619572069828,,"(254, 253)",32
2440,62953,208148,208148,1957-04-22 00:00:00,2015,69/nm0907869_rm719516672_1956-4-21_2015.jpg,1.0,John Walker,4.877761226261031,,"(500, 500)",58
2729,21444,73118,73118,1953-08-28 00:00:00,2012,07/nm0000607_rm2499392768_1952-8-27_2012.jpg,1.0,Paul Reubens,3.1721439749474896,,"(500, 500)",59
3043,7535,25306,25306,1946-08-15 00:00:00,2008,88/nm0000188_rm806524416_1945-8-14_2008.jpg,1.0,Steve Martin,4.2252199219936255,,"(270, 270)",62
2123,128133,432076,432076,1965-04-21 00:00:00,2012,27/nm0785227_rm1384688640_1964-4-20_2012.jpg,1.0,Andy Serkis,3.689489055203162,,"(500, 500)",47
3777,32908,111375,111375,1929-06-21 00:00:00,1999,45/nm0001445_rm625383936_1928-6-20_1999.jpg,1.0,Martin Landau,3.763964703964548,,"(322, 323)",70
677,52731,173596,173596,1984-06-10 00:00:00,2002,47/nm0005447_rm2446760704_1983-6-10_2002.jpg,0.0,Leelee Sobieski,3.483947675053785,,"(146, 146)",18
1705,36640,124139,124139,1941-01-29 00:00:00,1967,84/nm0001684_rm3895428352_1940-1-29_1967.jpg,0.0,Katharine Ross,4.038183757781998,,"(500, 500)",26
851,109184,365125,365125,1995-02-24 00:00:00,2014,24/nm0266824_rm4259705088_1994-2-23_2014.jpg,0.0,Dakota Fanning,4.444990957794728,,"(500, 500)",19
393,68140,224841,224841,1982-05-14 00:00:00,1998,75/nm0510275_rm1849335296_1981-5-13_1998.jpg,0.0,Rebecka Liljeberg,5.360158600035272,,"(217, 216)",16
721,120421,404817,404817,1990-08-16 00:00:00,2009,38/nm2679438_rm462392576_1989-8-15_2009.jpg,1.0,Joe Jonas,4.517839192242559,,"(284, 285)",19
1905,82744,275360,275360,1976-01-18 00:00:00,2005,85/nm0135585_rm318019584_1975-1-17_2005.jpg,1.0,Freddy Rodríguez,5.727692599428355,,"(325, 325)",29
3732,17529,59584,59584,1941-01-22 00:00:00,2010,57/nm0000457_rm1632470784_1940-1-22_2010.jpg,1.0,John Hurt,2.1579073833041464,,"(183, 183)",69
1091,98046,327436,327436,1990-03-12 00:00:00,2011,38/nm0947338_rm781302016_1989-3-11_2011.jpg,1.0,Anton Yelchin,2.889407985138149,,"(500, 500)",21
3229,107244,358294,358294,1943-08-08 00:00:00,2006,51/nm0068551_rm3838875904_1942-8-7_2006.jpg,1.0,Tobin Bell,2.676300355551045,,"(168, 168)",63
2796,35882,121405,121405,1928-02-21 00:00:00,1988,27/nm0001627_rm3526790656_1927-2-20_1988.jpg,1.0,Sidney Poitier,3.833032815640117,,"(500, 500)",60
1829,52137,172001,172001,1977-10-04 00:00:00,2005,05/nm0005405_rm3265694720_1976-10-3_2005.jpg,1.0,Seann William Scott,4.103690206311547,,"(500, 500)",28
2380,21834,74581,74581,1953-09-17 00:00:00,2010,20/nm0000620_rm2890501376_1952-9-16_2010.jpg,1.0,Mickey Rourke,3.150754532201122,,"(500, 500)",57
2064,17092,57896,57896,1974-06-16 00:00:00,2009,39/nm0000439_rm1810794496_1973-6-15_2009.jpg,1.0,Neil Patrick Harris,4.950146787609925,,"(207, 206)",35
1492,121491,408428,408428,1987-05-01 00:00:00,2011,98/nm1872698_rm3135486976_1986-4-30_2011.jpg,0.0,Dianna Agron,3.950033874961138,,"(500, 500)",24
1460,93185,310780,310780,1989-08-25 00:00:00,2013,88/nm0342488_rm3655194880_1988-8-24_2013.jpg,1.0,Rupert Grint,2.482592618030664,,"(430, 429)",24
643,56521,185954,185954,1989-11-23 00:00:00,2007,27/nm1107127_rm78026752_1988-11-22_2007.jpg,1.0,Reece Thompson,5.274081668362522,,"(173, 174)",18
1493,113913,381471,381471,1986-07-03 00:00:00,2010,08/nm0864308_rm1354860288_1985-7-2_2010.jpg,0.0,Ashley Tisdale,4.256996221884879,,"(94, 95)",24
3543,9623,31906,31906,1947-10-05 00:00:00,2013,15/nm0000215_rm920625920_1946-10-4_2013.jpg,0.0,Susan Sarandon,2.1242517794498195,,"(283, 283)",66
2077,16521,55804,55804,1969-01-02 00:00:00,2014,21/nm0000421_rm1334244352_1968-1-2_2014.jpg,1.0,Cuba Gooding Jr.,3.774154807094287,,"(402, 402)",45
1124,80592,267713,267713,1991-04-10 00:00:00,2012,76/nm0829576_rm543207680_1990-4-9_2012.jpg,0.0,Kristen Stewart,3.056704291522533,,"(264, 264)",21
3618,5127,17534,17534,1938-06-02 00:00:00,2005,51/nm0000151_rm829790976_1937-6-1_2005.jpg,1.0,Morgan Freeman,2.4827811833218285,,"(313, 313)",67
2901,66711,220097,220097,1943-08-02 00:00:00,2004,84/nm0316284_rm1639815936_1942-8-1_2004.jpg,1.0,Giancarlo Giannini,3.4480592867717625,,"(195, 195)",61
426,118639,398282,398282,1992-06-18 00:00:00,2008,67/nm1473267_rm2085066496_1991-6-18_2008.jpg,0.0,Willa Holland,4.85809935293629,,"(239, 238)",16
604,129099,435393,435393,1996-08-20 00:00:00,2014,29/nm1882929_rm2004024832_1995-8-20_2014.jpg,0.0,Liana Liberato,2.2629663935492887,,"(399, 399)",18
3165,17862,60745,60745,1952-09-05 00:00:00,2015,74/nm0000474_rm1124794112_1951-9-5_2015.jpg,1.0,Michael Keaton,3.338411392526618,,"(500, 500)",63
3864,125,462,462,1900-08-14 00:00:00,1972,33/nm0000033_rm54119424_1899-8-13_1972.jpg,1.0,Alfred Hitchcock,3.1564314684587584,,"(500, 500)",72
2881,32974,111621,111621,1950-04-21 00:00:00,2011,48/nm0001448_rm3806584064_1949-4-20_2011.jpg,0.0,Jessica Lange,2.4914935729301155,,"(395, 396)",61
3674,76789,254650,254650,1941-08-29 00:00:00,2009,98/nm0420898_rm1187088128_1940-8-28_2009.jpg,1.0,Ken Jenkins,3.0631055543543035,,"(136, 137)",68
2393,125013,420560,420560,1952-08-06 00:00:00,2009,19/nm0382819_rm164531712_1951-8-6_2009.jpg,0.0,Catherine Hicks,4.4808189033537005,,"(227, 227)",57
1371,122257,411371,411371,1982-09-17 00:00:00,2005,27/nm0088127_rm830183936_1981-9-16_2005.jpg,0.0,Alexis Bledel,3.795466206333056,,"(316, 317)",23
2224,108302,361949,361949,1959-02-22 00:00:00,2008,49/nm0167649_rm2986510592_1958-2-21_2008.jpg,1.0,Kim Coates,2.1175319331266675,,"(319, 319)",49
1569,73515,242934,242934,1980-10-20 00:00:00,2005,77/nm1024677_rm3948719360_1979-10-20_2005.jpg,1.0,John Krasinski,4.571992929440843,,"(137, 137)",25
1670,52488,172949,172949,1981-07-11 00:00:00,2007,33/nm0005433_rm3100023552_1980-7-10_2007.jpg,0.0,Jessica Simpson,4.6295629705841055,,"(149, 150)",26
1385,122755,412779,412779,1986-12-04 00:00:00,2009,43/nm1086543_rm1814072832_1985-12-3_2009.jpg,0.0,Amanda Seyfried,3.438080541461064,,"(500, 500)",23
1699,8690,29143,29143,1975-09-11 00:00:00,2001,02/nm0000202_rm2773588224_1974-9-10_2001.jpg,1.0,Ryan Phillippe,4.289212440642999,,"(269, 270)",26
2421,18744,63738,63738,1951-03-14 00:00:00,2008,13/nm0000513_rm1617009152_1950-3-13_2008.jpg,1.0,William H. Macy,4.445617989877408,,"(247, 246)",57
3099,9525,31572,31572,1947-10-05 00:00:00,2009,15/nm0000215_rm1247972864_1946-10-4_2009.jpg,0.0,Susan Sarandon,4.869233906430669,,"(90, 90)",62
3251,76802,254717,254717,1948-05-04 00:00:00,2012,55/nm0420955_rm2895355904_1947-5-4_2012.jpg,1.0,Richard Jenkins,3.063670728942093,,"(500, 500)",64
3129,95347,318026,318026,1942-04-21 00:00:00,2005,39/nm0641939_rm181572864_1941-4-20_2005.jpg,1.0,Ryan O'Neal,4.754373485262969,,"(277, 278)",63
1747,104596,349514,349514,1983-01-08 00:00:00,2010,48/nm1659348_rm1089854208_1982-1-7_2010.jpg,0.0,Lauren Cohan,3.164396066090436,,"(325, 325)",27
3107,14900,50104,50104,1945-11-18 00:00:00,2007,62/nm0000362_rm2476514048_1944-11-17_2007.jpg,1.0,Danny DeVito,4.498688098387703,,"(341, 341)",62
3288,3596,12352,12352,1944-08-17 00:00:00,2008,34/nm0000134_rm3237647360_1943-8-17_2008.jpg,1.0,Robert De Niro,2.54879399534414,,"(211, 211)",64
2877,88520,295461,295461,1951-02-03 00:00:00,2012,84/nm0837784_rm1814406912_1950-2-2_2012.jpg,0.0,Barbara Sukowa,2.905694670126421,,"(500, 500)",61
1683,111505,373075,373075,1980-04-21 00:00:00,2006,15/nm0564215_rm1495308800_1979-4-21_2006.jpg,1.0,James McAvoy,3.352257145821125,,"(229, 229)",26
1501,99545,332767,332767,1983-08-20 00:00:00,2007,76/nm0159776_rm449944320_1982-8-19_2007.jpg,0.0,Erika Christensen,6.147440200600205,,"(277, 277)",24
2479,391,1432,1432,1941-09-06 00:00:00,1999,79/nm0000079_rm979606272_1940-9-5_1999.jpg,0.0,Raquel Welch,3.806629691306317,,"(70, 70)",58
571,130198,439316,439316,1994-01-10 00:00:00,2011,73/nm2098473_rm2902831616_1993-1-9_2011.jpg,0.0,Ashley Argota,5.627455064460646,,"(500, 500)",17
2147,36426,123371,123371,1959-03-04 00:00:00,2007,69/nm0001669_rm1084460288_1958-3-3_2007.jpg,0.0,Miranda Richardson,4.1676864884058045,,"(500, 501)",48
2324,20824,70651,70651,1951-04-14 00:00:00,2008,79/nm0000579_rm3154282752_1950-4-13_2008.jpg,1.0,Ron Perlman,2.6795306798268737,,"(259, 259)",57
3731,31627,107093,107093,1943-01-11 00:00:00,2012,53/nm0001353_rm2806751744_1942-1-10_2012.jpg,1.0,Walter Hill,3.9061458668970106,,"(500, 500)",69
1520,126874,427084,427084,1986-03-01 00:00:00,2010,58/nm1582158_rm745899776_1985-2-28_2010.jpg,0.0,Fefe Dobson,2.305088468234944,,"(151, 151)",24
3598,68332,225640,225640,1927-09-20 00:00:00,1994,51/nm0513851_rm825202688_1926-9-19_1994.jpg,1.0,James Lipton,2.752104453151194,,"(83, 83)",67
2942,19968,67653,67653,1953-06-08 00:00:00,2014,53/nm0000553_rm3317028352_1952-6-7_2014.jpg,1.0,Liam Neeson,5.377009210682873,,"(400, 400)",61
2304,25296,85735,85735,1951-06-09 00:00:00,2008,34/nm0000834_rm3437663488_1950-6-8_2008.jpg,0.0,Kathy Baker,5.574873032356251,,"(239, 239)",57
2577,23926,81518,81518,1947-08-17 00:00:00,2005,90/nm0000690_rm3609303552_1946-8-16_2005.jpg,0.0,Lesley Ann Warren,4.291169344830106,,"(137, 136)",58
2688,102899,344082,344082,1947-09-14 00:00:00,2006,81/nm0550881_rm797285120_1946-9-13_2006.jpg,1.0,Frank Marshall,5.923696040158802,,"(321, 320)",59
3491,133552,450826,450826,1947-03-13 00:00:00,2013,85/nm0591485_rm3320751616_1946-3-12_2013.jpg,0.0,Liza Minnelli,3.3205626955629985,,"(500, 501)",66
